:TYPE	id:START_ID(organisation_id)	interessengruppe_id:END_ID(interessengruppe_id)
GEHOERT_ZU	875	42
GEHOERT_ZU	876	12
GEHOERT_ZU	877	20
GEHOERT_ZU	878	53
GEHOERT_ZU	879	20
GEHOERT_ZU	880	60
GEHOERT_ZU	881	5
GEHOERT_ZU	882	60
GEHOERT_ZU	883	33
GEHOERT_ZU	884	33
GEHOERT_ZU	886	10
GEHOERT_ZU	887	10
GEHOERT_ZU	888	10
GEHOERT_ZU	889	6
GEHOERT_ZU	890	3
GEHOERT_ZU	891	102
GEHOERT_ZU	892	35
GEHOERT_ZU	893	35
GEHOERT_ZU	894	35
GEHOERT_ZU	895	12
GEHOERT_ZU	896	56
GEHOERT_ZU	897	42
GEHOERT_ZU	899	48
GEHOERT_ZU	900	23
GEHOERT_ZU	902	23
GEHOERT_ZU	903	23
GEHOERT_ZU	904	23
GEHOERT_ZU	905	79
GEHOERT_ZU	906	23
GEHOERT_ZU	907	23
GEHOERT_ZU	908	23
GEHOERT_ZU	909	56
GEHOERT_ZU	910	56
GEHOERT_ZU	911	53
GEHOERT_ZU	912	23
GEHOERT_ZU	913	23
GEHOERT_ZU	914	56
GEHOERT_ZU	915	29
GEHOERT_ZU	916	3
GEHOERT_ZU	917	8
GEHOERT_ZU	918	30
GEHOERT_ZU	919	16
GEHOERT_ZU	920	20
GEHOERT_ZU	921	99
GEHOERT_ZU	922	32
GEHOERT_ZU	923	97
GEHOERT_ZU	924	70
GEHOERT_ZU	925	4
GEHOERT_ZU	926	12
GEHOERT_ZU	927	23
GEHOERT_ZU	928	23
GEHOERT_ZU	929	59
GEHOERT_ZU	930	26
GEHOERT_ZU	931	23
GEHOERT_ZU	932	23
GEHOERT_ZU	933	1
GEHOERT_ZU	934	42
GEHOERT_ZU	935	143
GEHOERT_ZU	936	102
GEHOERT_ZU	937	24
GEHOERT_ZU	938	33
GEHOERT_ZU	939	106
GEHOERT_ZU	940	2
GEHOERT_ZU	941	88
GEHOERT_ZU	942	18
GEHOERT_ZU	943	48
GEHOERT_ZU	944	4
GEHOERT_ZU	945	48
GEHOERT_ZU	946	48
GEHOERT_ZU	947	47
GEHOERT_ZU	948	48
GEHOERT_ZU	949	48
GEHOERT_ZU	950	48
GEHOERT_ZU	951	49
GEHOERT_ZU	952	49
GEHOERT_ZU	953	48
GEHOERT_ZU	954	49
GEHOERT_ZU	955	103
GEHOERT_ZU	956	5
GEHOERT_ZU	957	5
GEHOERT_ZU	958	52
GEHOERT_ZU	959	52
GEHOERT_ZU	960	136
GEHOERT_ZU	961	19
GEHOERT_ZU	962	52
GEHOERT_ZU	963	52
GEHOERT_ZU	964	56
GEHOERT_ZU	966	42
GEHOERT_ZU	967	51
GEHOERT_ZU	968	52
GEHOERT_ZU	969	32
GEHOERT_ZU	970	107
GEHOERT_ZU	971	42
GEHOERT_ZU	972	27
GEHOERT_ZU	973	59
GEHOERT_ZU	974	59
GEHOERT_ZU	976	48
GEHOERT_ZU	977	19
GEHOERT_ZU	978	42
GEHOERT_ZU	979	68
GEHOERT_ZU	980	88
GEHOERT_ZU	981	68
GEHOERT_ZU	982	3
GEHOERT_ZU	985	3
GEHOERT_ZU	986	41
GEHOERT_ZU	987	41
GEHOERT_ZU	988	27
