:TYPE	id:int	interessenbindung_id:int	jahr:int	verguetung:int	beschreibung:string	quelle_url:string	quelle_url_gueltig:int	quelle:string	freigabe_datum:localdatetime	parlamentarier_id:END_ID(parlamentarier_id)	organisation_id:START_ID(organisation_id)
VERGUETED	379	1034	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20	106	1380
VERGUETED	381	4112	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20	106	2227
VERGUETED	382	4113	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20	106	4046
VERGUETED	383	858	2015	"0"				"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20	106	244
VERGUETED	385	4081	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20	106	542
VERGUETED	386	1052	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20	106	140
VERGUETED	387	1068	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20	106	1396
VERGUETED	389	4114	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20	106	4047
VERGUETED	397	4104	2015	12000	"Entschädigung 1000 Fr./Monat"			"E-Mail Munz 30.8.2016"	2020-11-23T07:46:49	154	1797
VERGUETED	452	3909	2016	"0"				"N. Masshardt"	2020-11-21T09:30:46	144	3846
VERGUETED	453	2462	2016	"0"				"N. Masshardt"	2020-11-21T09:30:46	144	2675
VERGUETED	456	3905	2016	"0"				"N. Masshardt"	2020-11-21T09:30:46	144	3843
VERGUETED	457	3322	2016	400				"M. Streiff"	2020-03-26T11:30:04	195	3326
VERGUETED	458	3324	2016	200				"M. Streiff"	2020-03-26T11:30:04	195	3328
VERGUETED	459	3327	2016	600				"M. Streiff"	2020-03-26T11:30:04	195	3330
VERGUETED	460	3328	2016	6000				"M. Streiff"	2020-03-26T11:30:04	195	3331
VERGUETED	461	3323	2016	20000				"M. Streiff"	2020-03-26T11:30:04	195	3327
VERGUETED	462	1716	2016	"0"				"M. Streiff"	2020-03-26T11:30:04	195	1800
VERGUETED	463	2474	2016	"0"				"M. Streiff"	2020-03-26T11:30:04	195	2680
VERGUETED	464	2053	2016	250				"M. Streiff"	2020-03-26T11:30:04	195	98
VERGUETED	465	3326	2016	"0"				"M. Streiff"	2020-03-26T11:30:04	195	3329
VERGUETED	468	1740	2016	"0"				"C. Wermuth"	2020-11-22T11:22:55	211	1813
VERGUETED	470	2855	2016	"0"				"C. Wermuth"	2020-11-22T11:22:55	211	2953
VERGUETED	471	4355	2014	32700	"Vergütung gemäss Geschäftsbericht (Durchschnitt)"	"http://www.fenaco.com/files/GB-fenaco-2015_de1.pdf"		"Seite 79 Geschäftsbericht"	2019-09-16T18:05:08	149	113
VERGUETED	483	3195	2015	"0"	"ehrenamtlich"			"E-Mail Ruppen 13.9.2016"	2020-03-07T10:49:13	300	3255
VERGUETED	486	3193	2015	"0"	"Ehrenamtlicher Einsitz als Gemeinderat von Naters"			"E-Mail Ruppen 13.9.2016"	2020-03-07T10:49:13	300	3253
VERGUETED	489	3197	2015	3500	"3500-4000 Fr. pro Jahr Entschädigung für Einsitz als Gemeinderat von Naters"			"E-Mail Ruppen 13.9.2016"	2020-03-07T10:49:13	300	3258
VERGUETED	491	1033	2016	"0"				"M. Reynard"	2020-11-30T14:47:43	174	1380
VERGUETED	492	1265	2016	"0"				"M. Reynard"	2020-11-30T14:47:43	174	1504
VERGUETED	494	2662	2016	"0"				"M. Reynard"	2020-11-30T14:47:43	174	2828
VERGUETED	495	3796	2016	"0"				"M. Reynard"	2020-11-30T14:47:43	174	740
VERGUETED	497	3798	2016	5000				"M. Reynard"	2020-11-30T14:47:43	174	3713
