id	interessenbindung_id	jahr	verguetung	beschreibung	quelle_url	quelle_url_gueltig	quelle	freigabe_datum
373	4033	2014	9946	"Versteuerte Einkünfte"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26
374	4035	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26
375	4699	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26
376	1008	2015	3500	"Honorar inkl. Spesen und Sitzungsentschädigung"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26
377	2863	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26
378	4037	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26
379	1034	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20
381	4112	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20
382	4113	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20
383	858	2015	"0"				"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20
385	4081	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20
386	1052	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20
387	1068	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20
389	4114	2015	"0"	"ehrenamtlich"			"E-Mail Grossen 29.8.2016"	2020-04-04T19:02:20
397	4104	2015	12000	"Entschädigung 1000 Fr./Monat"			"E-Mail Munz 30.8.2016"	2020-11-23T07:46:49
452	3909	2016	"0"				"N. Masshardt"	2020-11-21T09:30:46
453	2462	2016	"0"				"N. Masshardt"	2020-11-21T09:30:46
456	3905	2016	"0"				"N. Masshardt"	2020-11-21T09:30:46
457	3322	2016	400				"M. Streiff"	2020-03-26T11:30:04
458	3324	2016	200				"M. Streiff"	2020-03-26T11:30:04
459	3327	2016	600				"M. Streiff"	2020-03-26T11:30:04
460	3328	2016	6000				"M. Streiff"	2020-03-26T11:30:04
461	3323	2016	20000				"M. Streiff"	2020-03-26T11:30:04
462	1716	2016	"0"				"M. Streiff"	2020-03-26T11:30:04
463	2474	2016	"0"				"M. Streiff"	2020-03-26T11:30:04
464	2053	2016	250				"M. Streiff"	2020-03-26T11:30:04
465	3326	2016	"0"				"M. Streiff"	2020-03-26T11:30:04
468	1740	2016	"0"				"C. Wermuth"	2020-11-22T11:22:55
470	2855	2016	"0"				"C. Wermuth"	2020-11-22T11:22:55
471	4355	2014	32700	"Vergütung gemäss Geschäftsbericht (Durchschnitt)"	"http://www.fenaco.com/files/GB-fenaco-2015_de1.pdf"		"Seite 79 Geschäftsbericht"	2019-09-16T18:05:08
483	3195	2015	"0"	"ehrenamtlich"			"E-Mail Ruppen 13.9.2016"	2020-03-07T10:49:13
486	3193	2015	"0"	"Ehrenamtlicher Einsitz als Gemeinderat von Naters"			"E-Mail Ruppen 13.9.2016"	2020-03-07T10:49:13
489	3197	2015	3500	"3500-4000 Fr. pro Jahr Entschädigung für Einsitz als Gemeinderat von Naters"			"E-Mail Ruppen 13.9.2016"	2020-03-07T10:49:13
491	1033	2016	"0"				"M. Reynard"	2020-11-30T14:47:43
492	1265	2016	"0"				"M. Reynard"	2020-11-30T14:47:43
494	2662	2016	"0"				"M. Reynard"	2020-11-30T14:47:43
495	3796	2016	"0"				"M. Reynard"	2020-11-30T14:47:43
497	3798	2016	5000				"M. Reynard"	2020-11-30T14:47:43
498	3799	2016	1000				"M. Reynard"	2020-11-30T14:47:43
499	3800	2016	"0"				"M. Reynard"	2020-11-30T14:47:43
500	4793	2016	"0"				"M. Reynard"	2020-11-30T14:47:43
501	4794	2016	"0"				"M. Reynard"	2020-11-30T14:47:43
502	3636	2016	3000		"http://www.derbund.ch/schweiz/standard/heikle-nebenjobs-von-regierungsraeten/story/25010802"			2020-04-16T08:53:54
505	3890	2016	3000		"http://www.derbund.ch/schweiz/standard/heikle-nebenjobs-von-regierungsraeten/story/25010802"			2020-03-29T08:22:57
507	2442	2015	12000				"M. Aebischer, 24.6.2016"	2019-09-18T16:39:37
510	825	2016	16940	"Vergütung"	"http://www.eric-nussbaumer.ch/ueber-mich/meine-person/"			2020-03-24T10:56:13
511	825	2015	27286	"Vergütung"	"http://www.eric-nussbaumer.ch/ueber-mich/meine-person/"			2020-03-24T10:56:13
512	5481	2016	69125	"Lohn"	"http://www.eric-nussbaumer.ch/ueber-mich/meine-person/"			2020-03-24T10:56:13
513	5481	2015	22377	"Lohn"	"http://www.eric-nussbaumer.ch/ueber-mich/meine-person/"			2020-03-24T10:56:13
515	4122	2016	1500	"Spesen"			"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
516	4124	2016	5102				"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
517	4711	2016	5010				"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
518	5506	2016	5040	"Spesen"			"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
519	4712	2016	5510				"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
520	4125	2016	"0"				"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
521	4127	2016	"0"				"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
522	4719	2016	"0"				"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
523	4126	2016	"0"				"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
524	4128	2016	"0"				"Mail B. Gysi, 29.5.17"	2020-03-26T08:20:04
526	18	2018	"0"	"Ehrenamtlich"			"E-Mail Carobbio 29.5.17"	2020-06-15T10:55:11
527	1725	2017	5000	"Entschädigungen und Spesen"			"E-Mail Carobbio 29.5.17"	2020-06-15T10:55:11
530	16	2016	"0"				"E-Mail Carobbio 29.5.17"	2020-06-15T10:55:11
531	1032	2016	"0"				"E-Mail Carobbio 29.5.17"	2020-06-15T10:55:11
533	5535	2016	"0"				"E-Mail Carobbio 29.5.17"	2020-06-15T10:55:11
535	676	2016	"0"				"E-Mail Carobbio 29.5.17"	2020-06-15T10:55:11
536	665	2016	"0"				"E-Mail Carobbio 29.5.17"	2020-06-15T10:55:11
